TPROP	MIG12	NANC	MaxObsLhood	NPOP2	MIG21	TDIV	NPOP1	ISO	MaxEstLhood	source	group	params	AIC
NA	NA	10	-204288.179	10	NA	10	10	NA	-358469682.745	./15_NAUS_ECOAST_m1_strict_isolation_rep71/15_NAUS_ECOAST_m1_strict_isolation_rep71.bestlhoods	15_NAUS_ECOAST_m1_strict_isolation	4	1650813903.55788
NA	0.000204286	42027	-204288.179	93466	0.000148879	36923	127752	NA	-204327.877	./15_NAUS_ECOAST_m2_constant_migration_rep20/15_NAUS_ECOAST_m2_constant_migration_rep20.bestlhoods	15_NAUS_ECOAST_m2_constant_migration	8	940980.647326642
0.000543302	0.000138966	41180	-204288.179	91795	0.00021103	37877	127217	21	-204327.412	./15_NAUS_ECOAST_m3_ancient_migration_rep43/15_NAUS_ECOAST_m3_ancient_migration_rep43.bestlhoods	15_NAUS_ECOAST_m3_ancient_migration	10	940982.505922505
0.2026873	0.000145389	40458	-204288.179	93095	0.000204505	37410	125054	7583	-204327.469	./15_NAUS_ECOAST_m4_recent_migration_rep98/15_NAUS_ECOAST_m4_recent_migration_rep98.bestlhoods	15_NAUS_ECOAST_m4_recent_migration	10	940982.768417206
NA	NA	10	-186296.802	10	NA	10	10	NA	-362438570.776	./1_PNG_INDO_m1_strict_isolation_rep53/1_PNG_INDO_m1_strict_isolation_rep53.bestlhoods	1_PNG_INDO_m1_strict_isolation	4	1669091308.38977
NA	0.00000968383	41706	-186296.802	44399	0.00000471355	44030	114750	NA	-186670.961	./1_PNG_INDO_m2_constant_migration_rep44/1_PNG_INDO_m2_constant_migration_rep44.bestlhoods	1_PNG_INDO_m2_constant_migration	8	859667.544186946
0.000279677	0.0000047116	42565	-186296.802	43811	0.00000986659	43874	115243	12	-186671.315	./1_PNG_INDO_m3_ancient_migration_rep7/1_PNG_INDO_m3_ancient_migration_rep7.bestlhoods	1_PNG_INDO_m3_ancient_migration	10	859673.174417192
0.3812051	0.00000574258	44382	-186296.802	44706	0.0000111649	38500	117051	14676	-186633.298	./1_PNG_INDO_m4_recent_migration_rep78/1_PNG_INDO_m4_recent_migration_rep78.bestlhoods	1_PNG_INDO_m4_recent_migration	10	859498.099662231
NA	NA	10	-221473.649	10	NA	10	10	NA	-384640521.247	./2_PNG_NAUS_m1_strict_isolation_rep79/2_PNG_NAUS_m1_strict_isolation_rep79.bestlhoods	2_PNG_NAUS_m1_strict_isolation	4	1771335068.7696
NA	0.0000211506	38418	-221473.649	139682	0.0000120902	42191	98249	NA	-221878.535	./2_PNG_NAUS_m2_constant_migration_rep74/2_PNG_NAUS_m2_constant_migration_rep74.bestlhoods	2_PNG_NAUS_m2_constant_migration	8	1021804.41429272
0.0013049	0.0000111383	40232	-221473.649	131955	0.000021111	40411	102130	53	-221880.907	./2_PNG_NAUS_m3_ancient_migration_rep18/2_PNG_NAUS_m3_ancient_migration_rep18.bestlhoods	2_PNG_NAUS_m3_ancient_migration	10	1021819.3377564
0.2547996	0.000016553	41633	-221473.649	143818	0.000031071	37619	99838	9585	-221705.22	./2_PNG_NAUS_m4_recent_migration_rep1/2_PNG_NAUS_m4_recent_migration_rep1.bestlhoods	2_PNG_NAUS_m4_recent_migration	10	1021010.26922193
NA	NA	10	-227048.236	10	NA	10	10	NA	-389438090.271	./3_PNG_NQ_m1_strict_isolation_rep63/3_PNG_NQ_m1_strict_isolation_rep63.bestlhoods	3_PNG_NQ_m1_strict_isolation	4	1793428690.60415
NA	0.0000299793	39069	-227048.236	147126	0.0000148359	39590	99823	NA	-227378.696	./3_PNG_NQ_m2_constant_migration_rep96/3_PNG_NQ_m2_constant_migration_rep96.bestlhoods	3_PNG_NQ_m2_constant_migration	8	1047133.59174805
0.000151379	0.000014751	40731	-227048.236	149394	0.0000315756	38569	97905	6	-227379.276	./3_PNG_NQ_m3_ancient_migration_rep56/3_PNG_NQ_m3_ancient_migration_rep56.bestlhoods	3_PNG_NQ_m3_ancient_migration	10	1047140.26274676
0.2104526	0.0000206938	41825	-227048.236	152328	0.0000531972	35142	103692	7396	-227204.382	./3_PNG_NQ_m4_recent_migration_rep22/3_PNG_NQ_m4_recent_migration_rep22.bestlhoods	3_PNG_NQ_m4_recent_migration	10	1046334.84611225
NA	NA	10	-259707.888	10	NA	10	10	NA	-427076058.531	./4_PNG_ECOAST_m1_strict_isolation_rep1/4_PNG_ECOAST_m1_strict_isolation_rep1.bestlhoods	4_PNG_ECOAST_m1_strict_isolation	4	1966757939.89627
NA	0.0000322166	41727	-259707.888	128294	0.0000122366	41815	102166	NA	-260061.906	./4_PNG_ECOAST_m2_constant_migration_rep82/4_PNG_ECOAST_m2_constant_migration_rep82.bestlhoods	4_PNG_ECOAST_m2_constant_migration	8	1197645.33602244
0.000265835	0.0000124873	41670	-259707.888	127169	0.0000323124	42432	102736	11	-260063.956	./4_PNG_ECOAST_m3_ancient_migration_rep39/4_PNG_ECOAST_m3_ancient_migration_rep39.bestlhoods	4_PNG_ECOAST_m3_ancient_migration	10	1197658.77662132
0.273685	0.0000160321	43399	-259707.888	127838	0.0000452178	39332	103700	10765	-259938.354	./4_PNG_ECOAST_m4_recent_migration_rep67/4_PNG_ECOAST_m4_recent_migration_rep67.bestlhoods	4_PNG_ECOAST_m4_recent_migration	10	1197080.35803562
NA	NA	10	-234039.183	10	NA	10	10	NA	-433951313.856	./5_PNG_WETTROPICS_m1_strict_isolation_rep87/5_PNG_WETTROPICS_m1_strict_isolation_rep87.bestlhoods	5_PNG_WETTROPICS_m1_strict_isolation	4	1998419660.74001
NA	0.0000986477	43831	-234039.183	196317	0.000363731	23359	53161	NA	-234101.769	./5_PNG_WETTROPICS_m2_constant_migration_rep90/5_PNG_WETTROPICS_m2_constant_migration_rep90.bestlhoods	5_PNG_WETTROPICS_m2_constant_migration	8	1078094.48708587
